Term:English,Description:English,Part:English,Term:Afrikaans,Description:Afrikaans,Term:Amharic,Description:Amharic,Term:Arabic,Description:Arabic,Term:Bengali,Description:Bengali,Term:Bengali (India),Description:Bengali (India),Term:Bulgarian,Description:Bulgarian,Term:Catalan,Description:Catalan,Term:Chinese Simplified,Description:Chinese Simplified,Term:Czech,Description:Czech,Term:Danish,Description:Danish,Term:Dutch,Description:Dutch,Term:Finnish,Description:Finnish,Term:French,Description:French,Term:German,Description:German,Term:Greek,Description:Greek,Term:Haitian Creole,Description:Haitian Creole,Term:Hausa,Description:Hausa,Term:Hebrew,Description:Hebrew,Term:Hindi,Description:Hindi,Term:Hungarian,Description:Hungarian,Term:Igbo,Description:Igbo,Term:Indoensian,Description:Indoensian,Term:Italian,Description:Italian,Term:Japanese,Description:Japanese,Term:Korean,Description:Korean,Term:Nepali,Description:Nepali,Term:Norwegian,Description:Norwegian,Term:Oromo,Description:Oromo,Term:Persian,Description:Persian,Term:Polish,Description:Polish,Term:Portuguese,Description:Portuguese,Term:Portuguese (Brazilian),Description:Portuguese (Brazilian),Term:Romanian,Description:Romanian,Term:Russian,Description:Russian,Term:Serbian (Cyrillic),Description:Serbian (Cyrillic),Term:Shona,Description:Shona,Term:Sinhala,Description:Sinhala,Term:Spanish (Modern),Description:Spanish (Modern),Term:Swahili,Description:Swahili,Term:Swedish,Description:Swedish,Term:Telugu,Description:Telugu,Term:Thai,Description:Thai,Term:Turkish,Description:Turkish,Term:Ukranian,Description:Ukranian,Term:Urdu (Pakistan),Description:Urdu (Pakistan),Term:Vietnamese,Description:Vietnamese,Term:Yoruba,Description:Yoruba,Term:Zulu,Description:Zulu
media query,,DET,,,,,,,Media Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,медиавыражение,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nota,,,,,,,,,,,,,,,,,,,,,,,примечание,,,,,,,,,,,,,,,,,,,Зверніть увагу:,,,,,,,,,
Template literals,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Шаблонні літерали,,,,,,,,,
interpolation,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interpolazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Інтерполяція,,,,,,,,,
equal sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"знак ""дорівнює""",,,,,,,,,
app,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,app,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,застосунок,,,,,,,,,
return statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,оператор повернення,,,,,,,,,
HashTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HashTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,геш-таблиця,,,,,,,,
Trie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Префіксне дерево,,,,,,,,
binary search trees,,NOUN,,,,,,,,,,,,,,,二叉搜索树,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alberi binari di ricerca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двійкове дерево пошуку,,,,,,,,,
node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вузол,,,,,,,,,
binary tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,albero binario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двійкове дерево,,,,,,,,,
body-parser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,body-parser,,,,,,,,,
submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,envío,,,,,,,,,,,,,,,,,,,,,
CSS offset,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSS offset,не перекладається,,,,,,,,
split-complement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~схема дополнительного разделения,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scatter Plot Circles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Círculos de Gráficos de Dispersión,Math stuff,,,,,,,,,,,,,,,,,,,,
scatter plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diagrama de dispersión,,,,,,,,,,,,,,,,,,,,,
pseudo-element,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,псевдоэлемент,дополнительный внутренний элемент созданный с помощью CSS и ::before или ::after,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo-elements,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,псевдоэлементы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphanumerics,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,алфавітно-цифровий індикатор,,,,,,,,,
lowercase,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нижний регистр,,,,,,,,,,,,,,,,,,,нижній регістр маленький шрифт,,,,,,,,,
freeCodeCamp console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,console di freeCodeCamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Консоль freeCodeCamp,,,,,,,,,
Partial Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Часткове застосування,,,,,,,,,
Currying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Каррування ,,,,,,,,,
arity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,арність,,,,,,,,,
Inheritance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eredità,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,успадкування,,,,,,,,,
canvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lienzo,,,,,,,,,,,,,,,,,,,,,
Scatterplot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diagrama de dispersión,math stuff,,,,,,,,,,,,,,,,,,,,
appended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,añadido,,,,,,,,,,,,,,,,,,,,,
shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figura,,,,,,,,,,,,,,,,,,,,,
add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agregar,,,,,,,,,,,,,,شامل,,,,,,,
selecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seleccionar,,,,,,,,,,,,,,,,,,,,,
Nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anidar,,,,,,,,,,,,,,,,,,,,,
Doubly Linked List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двунаправлений зв'язний список,,,,,,,,,
Bootstrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bootstrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bootstrap,,,,,,,,,
set,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insieme,,,,,,,,,,,,,,,,,,,,,,множество,Мно́жество — одно из ключевых понятий математики, представляющее собой набор совокупность каких-либо объектов — элементов этого множества. Два множества равны тогда и только тогда когда содержат в точности одинаковые элементы.,,,,,,,establecer,,,,,,,,,,,,,,,,,,,,
document instance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Екземпляр документа,,,,,,,,,
callback function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funzione di callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Функція зворотнього зв'язку,передача исполняемого кода в качестве одного из параметров другого кода. ,,,,,,,,
argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,argomento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,аргумент,Аргумент функции в программировании — значение передаваемое функции или его символьное имя.,,,,,,,,
plotted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trazado,,,,,,,,,,,,,,,,,,,,,
attach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adjuntar unir,,,,,,,,,,,,,,,,,,,,,
data-driven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impulsado por datos,,,,,,,,,,,,,,,,,,,,,
first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primer,,,,,,,,,,,,,,پہلا,,,,,,,
second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,segundo,,,,,,,,,,,,,,,,,,,,,
eighth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ottavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,octavo,,,,,,,,,,,,,,,,,,,,,
seventh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,settimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,séptimo,,,,,,,,,,,,,,,,,,,,,
ninth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,noveno,,,,,,,,,,,,,,,,,,,,,
third,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tercer,,,,,,,,,,,,,,,,,,,,,
data structure,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,struttura di dati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,структура даних,,,,,,,,,
seeding a database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,заповнення бази даних,,,,,,,,,
data structures,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strutture di dati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,структури даних,,,,,,,,,
Linked List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lista collegata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зв'язаний список,Зв'язаний список в програмуванні — одна з найважливіших структур даних в якій елементи лінійно впорядковані але порядок визначається не номерами елементів а вказівниками які входять до складу елементів списку та вказують на наступний за даним елемент або на наступний та попередній елементи.,,,,,,,,
a conga line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Лінія конга,Лінія конга є новизна лінійний танець що було отримано з Кубинський карнавал однойменний танець і стала популярною в США в 30-50-х роках. Танцюристи формують довгу обробну лінію яка зазвичай перетворюється на коло. Її три перетасувати кроки на такт а потім удар який трохи випереджає четвертий удар. Енциклопедія  site:uk.wikiqube.net,,,,,,,,
generating function,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,генератриса,У комбінаториці генератри́са або твірна функція (англ. generating function) послідовності {\displaystyle \{a_{n}\}}{\displaystyle \{a_{n}\}} — це формальний степеневий ряд,,,,,,,,
node,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вершина,,,,,,,,,
nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,або вершина або вузл,,,,,,,,
A perfect number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Un numero perfetto,,,,,,,,,,,,,,,,,,Um número perfeito,,,,,,,,,,,,,,,,,,,,,,,,досконале число,У теорії чисел досконале число  — натуральне число що дорівнює сумі його додатних дільників не враховуючи самого числа. Наприклад 6 має дільники 1 2 3 (не враховуючи його самого) {\displaystyle 6=1+2+3}{\displaystyle 6=1+2+3} тому 6  — досконале число.,,,,,,,,
integers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,цілі числа (мат.),,,,,,,,,
directed graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grafo orientato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,орієнтований граф,ще можна орграф ,,,,,,,,
heap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,купа,,,,,,,,,
binary heap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двійкова купа,,,,,,,,,
heap property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,властивіть купи,,,,,,,,,
child node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodo figlio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,дочірній вузол,,,,,,,,,
parent node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodo genitore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,батьківський вузол ,,,,,,,,,
max heap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,незростаюча купа,,,,,,,,,
min heap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,неспадна купа,,,,,,,,,
composite number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Складене число,,,,,,,,,
quadrilateral,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,чотирикутник,,,,,,,,,
Long multiplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,множення в стопчик,,,,,,,,
Dot product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Скалярний добуток,,,,,,,,,
board,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,панель,,,,,,,,,
decimal digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifra decimale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,десятковий знак,,,,,,,,,
Deepcopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Глибоке копіювання,,,,,,,,,
Date objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Об'єкти Date,Об'єкт Date служить для отримання дати і часу і для роботи з датою і часом. При створенні об'єкту Date використання оператора new є обов'язкове. Інакше об'єкт не буде створено а повернеться рядок з поточною датою.,,,,,,,,
Prototype copying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Прототип копіювання,,,,,,,,,
boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,booleano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,логічний тип,простий тип даних в інформатиці що може набувати двох можливих значень які іноді називають істиною і хибою (також так і ні). Присутній в переважній більшості мов програмування як самостійна сутність або реалізований через числовий тип. В другому випадку зазвичай за хибне приймають нульове значення за істину — одиницю чи будь-яке інше відмінне від нуля число.,,,,,,,,
step,степінь,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lattice points,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,точки ґратки,,,,,,,,,
Shannon entropy H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Інформаційна ентропія ,Інформаці́йна ентропі́я (англ. information entropy) — це усереднена швидкість із якою продукує інформацію стохастичне джерело даних.Поняття інформаційної ентропії було введено Клодом Шенноном у його праці 1948 року «Математична теорія зв'язку»,,,,,,,,
instruction pointer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,лічильник команд,,,,,,,,,
Degenerate spherical triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вироджені сферичні трикутники,,,,,,,,,
camelCase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camelCase,,,,,,,,,,,,,,,,,,,,,,,camelCase или «ВерблюжийРегистр» // стиль написания составных слов,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dichiarazione,,,,,,,,,,,,,,,,,,,,,,,объявление [переменных],,,,,,,,,,,,,,,,,,,,,,,,,,,,
assignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assegnamento,,,,,,,,,,,,,,,,,,,,,,,Присваивание (=),,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL,Уніфіко́ваний лока́тор ресу́рсів або адре́са ресу́рсу (англ. Uniform Resource Locator — єдиний вказівник на ресурс URL) — стандартизована адреса певного ресурсу (такого як документ чи зображення) в інтернеті (чи деінде). ,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URL-адреса,,,,,,,,,
Placeholder Text,The placeholder attribute specifies a short hint that describes the expected value of an input field (e.g. a sample value or a short description of the expected format). The short hint is displayed in the input field before the user enters a value.,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,заповнювач (плейсхолдер),,,,,,,,,
Checkboxes,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,прапорці,Елемент графічного інтерфейсу користувача (GUI) що дозволяє користувачу зробити множинний вибір з декількох варіантів. ,,,,,,,,
sub-array,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sotto-array,,,,,,,,,,,,,,,,,,,,,,подмассив,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Завдання,,,,,,,,,
Counter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Фішка,,,,,,,,,
Statement,a conditional statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sentencia,,,,,,,,,,,,,,,,,,,,,
markdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,markdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lenguaje de marcado,,,,,,,,,,,,,,,,,,,,,
n-sequence,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n-послідовність,,,,,,,,,
countiguous,,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contguo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,дотичний (мат.),,,,,,,,,
subsequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sottosequenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,підпослідовність,,,,,,,,,
value,,,,,,,,,ভ্যালু,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,значення,,,,,,,,,
family of functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,famiglia di funzioni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сімейство функцій,,,,,,,,,
modulo,,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,за модулем,,,,,,,,,
ellipsoid of revolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ellissoide di rivoluzione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сфероїд,,,,,,,,,
positive number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numero positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,додатне число,,,,,,,,,
collinear point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,колінеарна точка,,,,,,,,,
unitary divisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,унітарний дільник,,,,,,,,,
sum of squares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,somma di quadrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сума квадратів,,,,,,,,,
least common multiple,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minimo comune multiplo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,найменше спільне кратне,,,,,,,,,
